t_date,base_beta,base_Xty,base_train_rows,base_train_rows_used,base_fill_ratio,base_n_test,base_ic_model,base_ic_base,clean_beta,clean_Xty,clean_train_rows,clean_train_rows_used,clean_fill_ratio,clean_n_test,clean_ic_model,clean_ic_base,rank_beta,rank_Xty,rank_train_rows,rank_train_rows_used,rank_fill_ratio,rank_n_test,rank_ic_model,rank_ic_base,ref_n_test,ref_ic_model,ref_ic_base,ref_alpha,sign_flip,ic_opposite,ref_opposite
2016-12-30,-0.0013874925856409818,-69.52920579976333,50953,50953,0.017368947853904578,1307,-0.04468990357873636,0.04468990357873636,-0.001249030087819518,-62.535190655889906,50068,50068,0.017368947853904578,1307,-0.04468990357873636,0.04468990357873636,0.001560402309653818,79.50562004188359,50953,50953,0.017368947853904578,1307,0.04468990357873636,0.04468990357873636,1307,-0.0446899035787363,0.0446899035787363,0.001,True,True,True
2017-01-26,-0.0012558114032112258,-64.29476209302916,52112,52112,0.018383481731654897,1329,-0.18527943304643074,0.18527943304643074,-0.0011254549157588263,-57.57039643126608,51154,51154,0.018383481731654897,1329,-0.18527943304643074,0.18527943304643074,0.0018044569907168214,94.03206004770126,52112,52112,0.018383481731654897,1329,0.18527943304643074,0.18527943304643074,1329,-0.1852794330464307,0.1852794330464307,0.001,True,True,True
2017-02-28,-0.0011485420046966701,-60.13984745704659,53312,53312,0.01868247298919568,1368,-0.15453453934683403,0.15453453934683403,-0.001023795045816285,-53.559838845674,52316,52316,0.01868247298919568,1368,-0.15453453934683403,0.15453453934683403,0.002043758857267556,108.95483048354956,53312,53312,0.01868247298919568,1368,0.15453453934683403,0.15453453934683403,1368,-0.154534539346834,0.154534539346834,0.001,True,True,True
2017-03-31,-0.0010524606967970962,-56.37259171368774,54550,54550,0.018991750687442712,1410,-0.265432479372763,0.265432479372763,-0.0009331210482231753,-49.93410758668783,53514,53514,0.018991750687442712,1410,-0.265432479372763,0.265432479372763,0.0022875985750263734,124.78621695671225,54550,54550,0.018991750687442712,1410,0.265432479372763,0.265432479372763,1410,-0.265432479372763,0.265432479372763,0.001,True,True,True
2017-04-28,-0.0009875659976007467,-54.11241754245175,55812,55812,0.019135669748441195,1440,-0.2482192836384148,0.2482192836384148,-0.0008692652750253301,-47.58618981997691,54744,54744,0.019135669748441195,1440,-0.2482192836384148,0.2482192836384148,0.0023953725252327967,133.68813840114007,55812,55812,0.019135669748441195,1440,0.2482192836384148,0.2482192836384148,1440,-0.2482192836384148,0.2482192836384148,0.001,True,True,True
2017-05-31,-0.0008950537873093508,-50.16540939408412,57084,57084,0.019059631420362974,1470,-0.30121566655964077,0.30121566655964077,-0.0007811534976802538,-43.74069088375926,55996,55996,0.019059631420362974,1470,-0.30121566655964077,0.30121566655964077,0.002666881849058835,152.2336192567073,57084,57084,0.019059631420362974,1470,0.30121566655964077,0.30121566655964077,1470,-0.3012156665596407,0.3012156665596407,0.001,True,True,True
2017-06-30,-0.0007743462285571998,-44.3864379957345,58390,58390,0.019215619112861793,1510,-0.40690168533375726,0.40690168533375726,-0.0006694760930704821,-38.338888091343364,57268,57268,0.019215619112861793,1510,-0.40690168533375726,0.40690168533375726,0.0029897686287525707,174.56960345400245,58390,58390,0.019215619112861793,1510,0.40690168533375726,0.40690168533375726,1510,-0.4069016853337572,0.4069016853337572,0.001,True,True,True
2017-07-31,-0.0007204871015470502,-42.241385420284644,59726,59726,0.019271339115293173,1551,-0.40172384680748147,0.40172384680748147,-0.0006264566041917031,-36.69406976038138,58575,58575,0.019271339115293173,1551,-0.40172384680748147,0.40172384680748147,0.0030269415408316646,180.78408655311281,59726,59726,0.019271339115293173,1551,0.40172384680748147,0.40172384680748147,1551,-0.4017238468074814,0.4017238468074814,0.001,True,True,True
2017-08-31,-0.0006393300792669983,-38.33389282613672,61100,61100,0.01957446808510638,1598,-0.39590568254867403,0.39590568254867403,-0.0005464659724972551,-32.734951696969034,59904,59904,0.01957446808510638,1598,-0.39590568254867403,0.39590568254867403,0.0032409452377810464,198.01851632412937,61100,61100,0.01957446808510638,1598,0.39590568254867403,0.39590568254867403,1598,-0.395905682548674,0.395905682548674,0.001,True,True,True
2017-09-29,-0.000567004235551493,-34.7737302104662,62509,62509,0.01978915036234782,1635,-0.24652806821420625,0.24652806821420625,-0.0004752750514352989,-29.120578151767162,61272,61272,0.01978915036234782,1635,-0.24652806821420625,0.24652806821420625,0.0034156587427336222,213.506000106452,62509,62509,0.01978915036234782,1635,0.24652806821420625,0.24652806821420625,1635,-0.2465280682142062,0.2465280682142062,0.001,True,True,True
