fund_code,fund_name,date_start,date_end,ann_return,ann_vol,sharpe,max_drawdown,drawdown_recovery_days,drawdown_repaired,var_95,cvar_95,downside_dev,cum_return,alpha_ann,beta,r_squared,alpha_t,alpha_p,reg_days
240020,,2023-09-15,2026-09-14,0.0890283166269965,0.3105796629492006,0.3746679208926614,-0.35561147526604164,,False,-0.02606999999999993,-0.0374135135135135,0.19420768545402237,0.29134254937720616,0.06312347536400169,0.8954403650036509,0.27448636053594944,0.37891071542053806,0.704865412056708,725
257020,,2023-09-15,2026-09-14,0.18867758241956412,0.2806177503080358,0.7081644732108183,-0.29570861241503466,246.0,True,-0.02544999999999997,-0.03675405405405404,0.18309361621070075,0.678951231078045,0.12232298425788005,1.286019182581375,0.6935216968871665,1.2833142774048194,0.19979317424158316,725
257040,,2023-09-15,2026-09-14,0.040891610814723256,0.1685732644849342,0.21035837389471934,-0.22283062034134848,,False,-0.012369999999999999,-0.018164864864864853,0.09211511039230182,0.127666774632883,0.002010956427621375,0.5664153097121596,0.37281385360497177,0.025181872760595723,0.9799168443307942,725
260101,,2023-09-15,2026-09-14,0.10580021848043364,0.2375052021639547,0.47330607380940176,-0.2596189986758234,246.0,True,-0.021179999999999997,-0.030862162162162154,0.15248177467931529,0.3518868047118151,0.04911643836752464,1.0637719380004416,0.6624378489376033,0.5825321348323769,0.5603899234701174,725
260108,,2023-09-15,2026-09-14,-0.10250259698806086,0.20253191077892677,-0.5531486910736343,-0.3348239571235031,,False,-0.01636999999999993,-0.025097297297297278,0.131837131609333,-0.2769038606554821,-0.16077530338653012,0.8098363719953511,0.5279601742106862,-1.899156255374987,0.057941721352658015,725
260109,,2023-09-15,2026-09-14,-0.09631927922473627,0.20011785241878743,-0.5265645435350046,-0.3303223538961886,,False,-0.01594,-0.02502972972972973,0.1307236574150906,-0.261865729393717,-0.15596690883289702,0.8456314748400433,0.5896365390551636,-1.9548079069738769,0.050990738837965184,725
260112,,2023-09-15,2026-09-14,0.15652225438817746,0.16193315807320968,0.8909104978747281,-0.15650393372247673,,False,-0.015649999999999997,-0.023683783783783777,0.11139348154357544,0.5464372513436102,0.11094010413305448,0.5641663109319133,0.40081149595413723,1.5047892455389293,0.1328149817205113,725
260115,,2023-09-15,2026-09-14,0.13702428905419195,0.23150028154881225,0.6059677539097761,-0.20022105021791037,,False,-0.024,-0.03265263157894736,0.1612135764179246,0.469584996861407,0.07790037211441557,1.0491962134334065,0.6782740601836703,0.9415370865789681,0.3467441716288505,725
270001,,2023-09-15,2026-09-14,-0.0052656433382402,0.1533261149870787,-0.0897476613736182,-0.21291225712026163,397.0,True,-0.013379999999999998,-0.020624324324324303,0.1048896972215035,-0.01570322433525384,-0.04987216521147379,0.6039553301752724,0.5123538711198299,-0.7838558400384946,0.4333814189403563,725
270007,,2023-09-15,2026-09-14,0.08884463081412797,0.269967201075146,0.38853158319339803,-0.26791298042915157,,False,-0.025429999999999925,-0.038299999999999994,0.18705976124718582,0.2906896765119127,0.02865309280965999,1.2801375717719126,0.742480917266546,0.35411007817772505,0.7233596353757918,725
270008,,2023-09-15,2026-09-14,0.03836446232467061,0.1662673510842075,0.19826539415736796,-0.22930745901418514,,False,-0.0144999999999999,-0.023021052631578935,0.11786480306658853,0.11947880586142001,-0.009953721505661078,0.7192138428618176,0.6178672088615234,-0.14213783710686512,0.8870107300224455,725
270022,,2023-09-15,2026-09-14,0.03262560927085456,0.22062076063299443,0.17078732573958347,-0.29229392187624015,,False,-0.022809999999999997,-0.03216756756756755,0.15346491383999614,0.10103226046472003,-0.014991787692748455,0.889846568659534,0.5371985881099448,-0.18106280218945625,0.8563690254984261,725
270025,,2023-09-15,2026-09-14,0.012064735415489913,0.17979162003549576,0.04820191208432314,-0.2135420130417761,,False,-0.01636999999999993,-0.025589189189189173,0.12940862570614317,0.03660710877686313,-0.037170677414874884,0.7703132151075328,0.6061649074002597,-0.5061606687836054,0.6128981619927538,725
270028,,2023-09-15,2026-09-14,0.21048026294789746,0.334600986560975,0.7008220098545073,-0.3361615214247651,,False,-0.031109999999999968,-0.04640810810810809,0.22757194016504181,0.7729757413450675,0.14697107042469057,1.4734479638931355,0.6403397615316573,1.2308423269326467,0.21878210298665884,725
270050,,2023-09-15,2026-09-14,-0.09902886285743473,0.3071951176260647,-0.2639241281009929,-0.4197655779728995,,False,-0.03017999999999993,-0.04582702702702701,0.22068515119052182,-0.2684809649158124,-0.15700461100240795,1.2664046504184043,0.5611887863370167,-1.3020622507708486,0.1933097637256961,725
288002,,2023-09-15,2026-09-14,0.0616818777131094,0.20488007423188073,0.30758423893539005,-0.24454236523737183,246.0,True,-0.018,-0.026510526315789446,0.1336275861280723,0.19654720378802049,0.013309228283108094,0.83515496702757,0.5486920090885758,0.16290463296116903,0.8706390438944632,725
