fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
007641,泰达宏利鑫利债券,2022-07-11,2022-08-16,2,基金合同终止公告/清算报告,宏利,2022-07-11,False
007678,泰达宏利品牌升级混合,2022-07-30,2022-08-30,2,基金合同终止公告/清算报告,宏利,2022-07-30,False
007683,华商转债精选债券,2026-07-04,2026-07-27,3,基金清算公告/清算报告,华商,2026-07-04,False
007688,泰达养老2040三年持有混合FOF,2023-02-28,2023-02-28,1,基金合同终止公告,宏利,2023-02-28,False
007697,中金衡益,2021-10-01,2021-10-27,2,基金合同终止公告/清算报告,中金,2021-10-01,False
007727,人保添益6个月定开,2020-07-07,2020-07-07,1,清算报告,人保资产,2020-07-07,False
007757,国投瑞银顺业纯债债券,2021-03-18,2021-04-16,5,基金合同终止公告/基金清算公告/清算报告,国投瑞银,2021-03-18,False
007763,前海开源3-5年国开债,2021-05-17,2021-05-17,1,清算报告,前海开源,2021-05-17,False
007767,华泰保兴尊享定开,2026-08-25,2026-09-17,2,基金合同终止公告/清算报告,华泰保兴,2026-08-25,False
007781,天弘弘新,2025-09-02,2025-10-14,3,基金合同终止公告/基金清算公告/清算报告,天弘,2025-09-02,False
007782,大成MSCI价值100ETF联接,2023-06-14,2023-06-14,1,清算报告,大成,2023-06-14,False
007813,易方达中证浙江新动能ETF联接(QDII),2021-08-18,2021-11-30,9,基金合同终止公告/清算报告,易方达,2021-08-18,False
007821,华泰紫金丰利中短债发起,2024-12-31,2024-12-31,1,清算报告,华泰资管,2024-12-31,False
007846,华富中债-0-5年中高等级信用债指数,2021-12-28,2022-01-20,2,基金合同终止公告/清算报告,华富,2021-12-28,False
007899,大成远见成长混合,2020-09-11,2020-11-25,3,基金合同终止公告/基金清算公告/清算报告,大成,2020-09-11,False
007923,方正富邦天鑫混合,2023-06-09,2023-06-09,1,基金合同终止公告,方正富邦,2023-06-09,False
007929,天治稳健双鑫债券,2021-09-18,2021-10-21,8,基金合同终止公告/清算报告,天治,2021-09-18,False
007933,嘉合永泰优选三个月持有混合（FOF）,2023-05-10,2023-05-10,1,基金合同终止公告,嘉合,2023-05-10,False
007985,博时富悦纯债,2026-07-28,2026-08-29,3,基金合同终止公告/清算报告,博时,2026-07-28,False
007996,博时富顺纯债债券,2026-07-29,2026-09-04,3,基金合同终止公告/清算报告,博时,2026-07-29,False
008005,景顺长城中债3-5年政策性金融债指数,2021-04-16,2021-06-11,3,基金合同终止公告/清算报告,景顺长城,2021-04-16,False
008007,安信睿享纯债债券,2021-03-17,2021-03-17,2,基金合同终止公告/清算报告,安信,2021-03-17,False
008033,中加科盈混合,2024-02-01,2024-03-15,2,基金合同终止公告/清算报告,中加,2024-02-01,False
008058,鹏华鑫享稳健混合,2026-01-27,2026-03-12,2,基金合同终止公告/清算报告,鹏华,2026-01-27,False
