t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2008-11-28,dev,sharpe_12m,all,216,0.09557508424725228,4303,2008-11-05
2008-11-28,dev,sharpe_12m,short,113,0.23477942644221175,4303,2008-11-05
2008-11-28,dev,sharpe_12m,full,103,0.01684751570531125,4303,2008-11-05
2008-11-28,dev,sharpe_12m,under12,0,,4303,2008-11-05
2008-12-31,dev,ret_12m,all,218,-0.5004636094121108,4499,2008-12-03
2008-12-31,dev,ret_12m,short,111,-0.40146542646542643,4499,2008-12-03
2008-12-31,dev,ret_12m,full,107,-0.4997452928152981,4499,2008-12-03
2008-12-31,dev,ret_12m,under12,0,,4499,2008-12-03
2008-12-31,dev,sharpe_12m,all,218,0.00917894512497763,4499,2008-12-03
2008-12-31,dev,sharpe_12m,short,111,0.0323008073008073,4499,2008-12-03
2008-12-31,dev,sharpe_12m,full,107,0.009776837320480417,4499,2008-12-03
2008-12-31,dev,sharpe_12m,under12,0,,4499,2008-12-03
2009-01-23,dev,ret_12m,all,219,-0.41602933951809157,4696,2008-12-31
2009-01-23,dev,ret_12m,short,110,-0.3399454500371932,4696,2008-12-31
2009-01-23,dev,ret_12m,full,109,-0.4306922435362803,4696,2008-12-31
2009-01-23,dev,ret_12m,under12,0,,4696,2008-12-31
2009-01-23,dev,sharpe_12m,all,220,0.056576300411916844,4696,2008-12-31
2009-01-23,dev,sharpe_12m,short,111,0.020401895401895402,4696,2008-12-31
2009-01-23,dev,sharpe_12m,full,109,0.09299416180150125,4696,2008-12-31
2009-01-23,dev,sharpe_12m,under12,0,,4696,2008-12-31
2009-02-27,dev,ret_12m,all,221,-0.29913171089641677,4899,2009-02-11
2009-02-27,dev,ret_12m,short,111,-0.2184889434889435,4899,2009-02-11
2009-02-27,dev,ret_12m,full,110,-0.31868448932669113,4899,2009-02-11
2009-02-27,dev,ret_12m,under12,0,,4899,2009-02-11
2009-02-27,dev,sharpe_12m,all,221,0.22114578585166816,4899,2009-02-11
2009-02-27,dev,sharpe_12m,short,111,0.23073008073008072,4899,2009-02-11
2009-02-27,dev,sharpe_12m,full,110,0.21026080292135338,4899,2009-02-11
2009-02-27,dev,sharpe_12m,under12,0,,4899,2009-02-11
2009-03-31,dev,ret_12m,all,221,-0.03258029728617964,5109,2009-03-12
