t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2008-08-29,dev,sharpe_12m,all,68,0.3015994197808909,1427,2008-08-07
2008-08-29,dev,sharpe_12m,short,34,0.1917494270435447,1427,2008-08-07
2008-08-29,dev,sharpe_12m,full,34,0.4557677616501145,1427,2008-08-07
2008-08-29,dev,sharpe_12m,under12,0,,1427,2008-08-07
2008-09-26,dev,ret_12m,all,69,0.03222506393861893,1483,2008-08-29
2008-09-26,dev,ret_12m,short,34,-0.09579831932773109,1483,2008-08-29
2008-09-26,dev,ret_12m,full,35,0.14565826330532214,1483,2008-08-29
2008-09-26,dev,ret_12m,under12,0,,1483,2008-08-29
2008-09-26,dev,sharpe_12m,all,70,0.3493482634940075,1483,2008-08-29
2008-09-26,dev,sharpe_12m,short,35,0.40448179271708684,1483,2008-08-29
2008-09-26,dev,sharpe_12m,full,35,0.36190476190476195,1483,2008-08-29
2008-09-26,dev,sharpe_12m,under12,0,,1483,2008-08-29
2008-10-31,dev,ret_12m,all,70,-0.3007085994226227,1543,2008-10-07
2008-10-31,dev,ret_12m,short,35,-0.35854341736694684,1543,2008-10-07
2008-10-31,dev,ret_12m,full,35,-0.11568627450980393,1543,2008-10-07
2008-10-31,dev,ret_12m,under12,0,,1543,2008-10-07
2008-10-31,dev,sharpe_12m,all,70,0.3413699588837372,1543,2008-10-07
2008-10-31,dev,sharpe_12m,short,35,0.40364145658263306,1543,2008-10-07
2008-10-31,dev,sharpe_12m,full,35,0.3137254901960784,1543,2008-10-07
2008-10-31,dev,sharpe_12m,under12,0,,1543,2008-10-07
2008-11-28,dev,ret_12m,all,71,-0.18839704896042922,1604,2008-11-05
2008-11-28,dev,ret_12m,short,34,-0.16424751718869365,1604,2008-11-05
2008-11-28,dev,ret_12m,full,37,-0.0604551920341394,1604,2008-11-05
2008-11-28,dev,ret_12m,under12,0,,1604,2008-11-05
2008-11-28,dev,sharpe_12m,all,72,0.35500675284584227,1604,2008-11-05
2008-11-28,dev,sharpe_12m,short,35,0.49943977591036415,1604,2008-11-05
2008-11-28,dev,sharpe_12m,full,37,0.2830725462304409,1604,2008-11-05
2008-11-28,dev,sharpe_12m,under12,0,,1604,2008-11-05
2008-12-31,dev,ret_12m,all,73,-0.20387510798469707,1667,2008-12-03
2008-12-31,dev,ret_12m,short,35,-0.19775910364145657,1667,2008-12-03
2008-12-31,dev,ret_12m,full,38,-0.13404092351460772,1667,2008-12-03
2008-12-31,dev,ret_12m,under12,0,,1667,2008-12-03
2008-12-31,dev,sharpe_12m,all,73,0.24160804640256697,1667,2008-12-03
2008-12-31,dev,sharpe_12m,short,35,0.20364145658263308,1667,2008-12-03
2008-12-31,dev,sharpe_12m,full,38,0.26359557938505307,1667,2008-12-03
2008-12-31,dev,sharpe_12m,under12,0,,1667,2008-12-03
2009-01-23,dev,ret_12m,all,73,-0.08453659138590645,1730,2008-12-31
2009-01-23,dev,ret_12m,short,34,-0.04140565317035905,1730,2008-12-31
2009-01-23,dev,ret_12m,full,39,-0.08137651821862348,1730,2008-12-31
2009-01-23,dev,ret_12m,under12,0,,1730,2008-12-31
2009-01-23,dev,sharpe_12m,all,73,0.23411082315191908,1730,2008-12-31
2009-01-23,dev,sharpe_12m,short,34,0.039877769289533994,1730,2008-12-31
2009-01-23,dev,sharpe_12m,full,39,0.359919028340081,1730,2008-12-31
2009-01-23,dev,sharpe_12m,under12,0,,1730,2008-12-31
2009-02-27,dev,ret_12m,all,73,-0.013791188448722699,1796,2009-02-11
