t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2022-12-30,dev,ok,218269,4077,2003-01-29,2022-12-02,4132,4132
2023-01-31,dev,ok,221976,4167,2003-01-29,2023-01-03,4178,4178
2023-02-28,dev,ok,225745,4239,2003-01-29,2023-02-08,4252,4252
2023-03-31,dev,ok,229592,4336,2003-01-29,2023-03-13,4336,4336
2023-04-28,dev,ok,233534,4445,2003-01-29,2023-04-12,4388,4388
2023-05-31,dev,ok,237519,4501,2003-01-29,2023-05-09,4432,4432
2023-06-30,dev,ok,241583,4600,2003-01-29,2023-06-08,4466,4466
2023-07-31,dev,ok,245715,4694,2003-01-29,2023-07-12,4481,4481
2023-08-31,dev,ok,249893,4759,2003-01-29,2023-08-03,4518,4518
2023-09-28,dev,ok,254145,4844,2003-01-29,2023-08-31,4534,4534
2023-10-31,dev,ok,258481,4951,2003-01-29,2023-10-11,4563,4563
2023-11-30,dev,ok,262869,5015,2003-01-29,2023-11-07,4592,4592
2023-12-29,dev,ok,267301,5076,2003-01-29,2023-12-05,4631,4631
2024-01-31,dev,ok,271767,5129,2003-01-29,2024-01-03,4668,4668
2024-02-29,dev,ok,276248,5165,2003-01-29,2024-02-01,4687,4687
2024-03-29,dev,ok,280766,5218,2003-01-29,2024-03-13,4698,4698
2024-04-30,dev,ok,285300,5256,2003-01-29,2024-04-12,4727,4727
2024-05-31,dev,ok,289863,5299,2003-01-29,2024-05-10,4763,4763
2024-06-28,dev,ok,294455,5350,2003-01-29,2024-06-12,4795,4795
2024-07-31,dev,ok,299086,5405,2003-01-29,2024-07-11,4811,4811
2024-08-30,dev,ok,303754,5456,2003-01-29,2024-08-12,4816,4816
2024-09-30,dev,ok,308441,5488,2003-01-29,2024-09-02,4815,4815
2024-10-31,dev,ok,313139,5516,2003-01-29,2024-10-10,4829,4829
2024-11-29,dev,ok,317866,5559,2003-01-29,2024-11-07,4856,4856
2024-12-31,dev,ok,322629,5609,2003-01-29,2024-12-05,4852,4852
2025-01-27,dev,ok,327424,5659,2003-01-29,2025-01-02,4861,4861
2025-02-28,dev,ok,332235,5701,2003-01-29,2025-02-12,4880,4880
2025-03-31,holdout,reserved_holdout,337051,5740,2003-01-29,2025-03-14,4897,4897
