rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1403,001270,英大灵活配置混合型发起式A,-0.26177048860671825,136.3,full,1.0,2026-09-15
1404,007484,信澳核心科技混合A,-0.26408956034376063,85.1,full,1.0,2026-09-15
1405,010594,广发睿选三年持有期混合,-0.26460537006940876,68.8,full,1.0,2026-09-15
1406,006881,华宝大健康混合A,-0.26462360069992463,89.6,full,1.0,2026-09-15
1407,510081,长盛动态精选混合,-0.2652398484229135,267.8,full,1.0,2026-09-15
1408,001271,英大灵活配置混合型发起式B,-0.26531431965073693,136.3,full,1.0,2026-09-15
1409,004189,华商消费行业股票,-0.26545634405650775,114.0,full,1.0,2026-09-15
1410,013871,招商能源转型混合A,-0.2659764594059252,55.2,full,1.0,2026-09-15
1411,000057,中银消费主题混合A,-0.2663722038816322,160.7,full,1.0,2026-09-15
1412,016350,招商碳中和主题混合A,-0.266428728825728,47.6,full,1.0,2026-09-15
1413,006223,交银创新成长混合,-0.2677115069823097,95.6,full,1.0,2026-09-15
1414,007082,平安高端制造混合A,-0.26788764343460614,88.7,full,1.0,2026-09-15
1415,009661,平安研究睿选混合A,-0.2681689187148576,74.0,full,1.0,2026-09-15
1416,519767,交银科技创新灵活配置混合A,-0.2741626296069922,124.4,full,1.0,2026-09-15
